"","Year","App.","Taxon","Class","Importer","Exporter","Term","Unit","Purpose","Source","Exportation.type","Exportation.number"
"294",2020,"II","Balearica regulorum","Aves","BD","CD","live","Not applied","T","W","Exported",24
"295",2020,"II","Grus antigone","Aves","LK","BE","live","Not applied","Z","C","Imported",4
"296",2020,"II","Hippopotamus amphibius","Mammalia","CH","CM","trophies","Not applied","H","W","Exported",1
"297",2020,"II","Hirudo medicinalis","Hirudinoidea","MD","RO","live","Not applied","T","C","Imported",1000
"298",2020,"II","Hirudo verbana","Hirudinoidea","CH","RS","live","Not applied","T","F","Exported",1500
"299",2020,"II","Holothuria fuscogilva","Holothuroidea","HK","LK","bodies","kg","T","W","Exported",154.5
"300",2020,"II","Holothuria fuscogilva","Holothuroidea","MY","LK","bodies","kg","T","W","Exported",40
"301",2020,"II","Holothuria nobilis","Holothuroidea","HK","LK","bodies","kg","T","W","Exported",193.5
"302",2020,"II","Holothuria nobilis","Holothuroidea","SG","LK","bodies","kg","T","W","Exported",360
"303",2020,"II","Isurus oxyrinchus","Elasmobranchii","HK","LK","fins","kg","T","W","Exported",300
"304",2020,"II","Isurus oxyrinchus","Elasmobranchii","SG","LK","fins","kg","T","W","Exported",600
"305",2020,"II","Isurus oxyrinchus","Elasmobranchii","US","TT","meat","kg","T","W","Exported",10205.83
"306",2020,"II","Dalbergia spp.","Not applied","CN","LA","leaves","Not applied","S","W","Exported",31
"307",2020,"II","Dalbergia cochinchinensis","Not applied","GB","LA","leaves","Not applied","S","W","Exported",116
"308",2020,"II","Dalbergia cultrata","Not applied","GB","LA","leaves","Not applied","S","W","Exported",13
"309",2020,"II","Dalbergia latifolia","Not applied","MO","DE","wood product","kg","T","O","Imported",1.6
"310",2020,"II","Dalbergia oliveri","Not applied","GB","LA","leaves","Not applied","S","W","Exported",13
"311",2020,"II","Dalbergia pinnata","Not applied","CN","LA","leaves","Not applied","S","W","Exported",31
"312",2020,"II","Dalbergia sissoo","Not applied","DE","PK","wood product","Not applied","T","A","Exported",210
"313",2020,"II","Dalbergia sissoo","Not applied","GB","PK","wood product","Not applied","T","A","Exported",910
"314",2020,"II","Dalbergia sissoo","Not applied","US","PK","wood product","Not applied","T","A","Exported",47465
"315",2020,"II","Guibourtia demeusei","Not applied","CN","CD","logs","m3","T","W","Exported",158.074
"316",2020,"II","Guibourtia demeusei","Not applied","TR","CD","logs","m3","T","W","Exported",26.696
"317",2020,"II","Pericopsis elata","Not applied","BE","CD","logs","m3","T","W","Exported",499.086
"318",2020,"II","Pericopsis elata","Not applied","BE","CD","sawn wood","m3","T","W","Exported",1005.382
"319",2020,"II","Pericopsis elata","Not applied","CN","CD","logs","m3","T","W","Exported",16143.736
"320",2020,"II","Pericopsis elata","Not applied","ES","CD","logs","m3","T","W","Exported",122.823
"321",2020,"II","Pericopsis elata","Not applied","ES","CD","sawn wood","m3","T","W","Exported",88.614
"322",2020,"II","Pericopsis elata","Not applied","IT","CD","logs","m3","T","W","Exported",63.747
"323",2020,"II","Pericopsis elata","Not applied","JP","CD","logs","m3","T","W","Exported",40.044
"324",2020,"II","Pericopsis elata","Not applied","KR","CD","logs","m3","T","W","Exported",45.831
"325",2020,"II","Pericopsis elata","Not applied","KW","CD","logs","m3","T","W","Exported",28.908
"326",2020,"II","Pericopsis elata","Not applied","KW","CD","sawn wood","m3","T","W","Exported",55.483
"327",2020,"II","Pericopsis elata","Not applied","MY","CD","sawn wood","m3","T","W","Exported",70.316
"328",2020,"II","Pericopsis elata","Not applied","PK","CD","sawn wood","m3","T","W","Exported",15.056
"329",2020,"II","Pericopsis elata","Not applied","PT","CD","logs","m3","T","W","Exported",360.104
"330",2020,"II","Pericopsis elata","Not applied","SA","CD","sawn wood","m3","T","W","Exported",89.497
"331",2020,"II","Pericopsis elata","Not applied","TH","CD","logs","m3","T","W","Exported",22.831
"332",2020,"II","Pericopsis elata","Not applied","TR","CD","logs","m3","T","W","Exported",173.983
"333",2020,"II","Pericopsis elata","Not applied","TW","CD","logs","m3","T","W","Exported",1731.131
"334",2020,"II","Pericopsis elata","Not applied","VN","CD","logs","m3","T","W","Exported",9481.891
"335",2020,"II","Pericopsis elata","Not applied","XX","CD","logs","m3","T","W","Exported",46.601
"336",2020,"II","Pterocarpus erinaceus","Not applied","CN","ML","sawn wood","m3","Not applied","Not applied","Exported",62418
"337",2020,"II","Senna meridionalis","Not applied","JP","MG","live","Not applied","T","A","Exported",20
"338",2020,"II","Aloe macroclada","Not applied","BF","MG","leaves","Not applied","T","A","Exported",55
"339",2020,"II","Chalcopsitta cardinalis","Aves","SG","LK","live","Not applied","T","C","Exported",2
"340",2020,"II","Chalcopsitta sintillata","Aves","SG","LK","live","Not applied","T","C","Exported",4
"341",2020,"II","Eos reticulata","Aves","SG","LK","live","Not applied","T","C","Exported",4
"342",2020,"II","Eos rubra","Aves","SG","LK","live","Not applied","T","C","Exported",6
"343",2020,"II","Glossopsitta concinna","Aves","LK","KW","live","Not applied","B","C","Imported",2
"344",2020,"II","Lorius garrulus","Aves","MV","LK","live","Not applied","T","C","Exported",2
"345",2020,"II","Lorius lory","Aves","MV","LK","live","Not applied","T","C","Exported",2
"346",2020,"II","Pseudeos fuscata","Aves","MV","LK","live","Not applied","T","C","Exported",1
"347",2020,"II","Trichoglossus chlorolepidotus","Aves","LK","KW","live","Not applied","P","F","Imported",4
"348",2020,"II","Trichoglossus haematodus","Aves","SG","LK","live","Not applied","T","C","Exported",10
"349",2020,"II","Trichoglossus ornatus","Aves","MV","LK","live","Not applied","T","C","Exported",2
"350",2020,"II","Scaphiophryne spinosa","Amphibia","JP","MG","live","Not applied","T","W","Exported",47
"351",2020,"II","Moschus moschiferus","Mammalia","HK","BY","musk","Not applied","T","W","Exported",32
"352",2020,"II","Tauraco persa","Aves","AM","ML","live","Not applied","Not applied","Not applied","Exported",150
"353",2020,"II","Acanthastrea amakusensis","Anthozoa","LK","AU","live","Not applied","B","C","Imported",300
"354",2020,"II","Blastomussa wellsi","Anthozoa","LK","VN","live","Not applied","T","C","Imported",20
"355",2020,"II","Scolymia australis","Anthozoa","LK","AU","live","Not applied","B","C","Imported",300
"356",2020,"II","Scolymia australis","Anthozoa","LK","VN","live","Not applied","T","C","Imported",20
"357",2020,"II","Manta spp.","Elasmobranchii","HK","LK","gill plates","kg","T","W","Exported",300
"358",2020,"II","Manta birostris","Elasmobranchii","HK","LK","gill plates","kg","T","W","Exported",1024.5
"359",2020,"II","Manta birostris","Elasmobranchii","IT","CV","specimens","Not applied","S","W","Exported",1
"360",2020,"II","Mobula japanica","Elasmobranchii","HK","LK","gill plates","kg","T","W","Exported",7192.1
"361",2020,"II","Mobula japanica","Elasmobranchii","HK","LK","gill plates","Not applied","T","W","Exported",100
"362",2020,"II","Mobula mobular","Elasmobranchii","HK","LK","gill plates","kg","T","W","Exported",626.4
"363",2020,"II","Mobula mobular","Elasmobranchii","HK","LK","live","kg","T","W","Exported",450
"364",2020,"II","Mobula tarapacana","Elasmobranchii","HK","LK","gill plates","kg","T","W","Exported",3183.8
"365",2020,"II","Mobula tarapacana","Elasmobranchii","HK","LK","live","Not applied","T","W","Exported",100
"366",2020,"II","Nepenthes spp.","Not applied","CA","LK","live","Not applied","T","A","Exported",1020
"367",2020,"II","Nepenthes spp.","Not applied","GB","LK","live","Not applied","T","A","Exported",27000
"368",2020,"II","Nepenthes spp.","Not applied","HK","LK","live","Not applied","T","A","Exported",4380
"369",2020,"II","Nepenthes spp.","Not applied","JP","LK","live","Not applied","T","A","Exported",1430
"370",2020,"II","Nepenthes spp.","Not applied","KR","LK","live","Not applied","T","A","Exported",340
"371",2020,"II","Nepenthes spp.","Not applied","SG","LK","live","Not applied","T","A","Exported",500
"372",2020,"II","Nepenthes spp.","Not applied","TH","LK","live","Not applied","T","A","Exported",320
"373",2020,"II","Nepenthes spp.","Not applied","TW","LK","live","Not applied","T","A","Exported",150
"374",2020,"II","Nepenthes spp.","Not applied","US","LK","live","Not applied","T","A","Exported",6850
"375",2020,"II","Nepenthes alata","Not applied","GB","LK","live","Not applied","T","A","Exported",2000
"376",2020,"II","Nepenthes alata","Not applied","US","LK","live","Not applied","T","A","Exported",100
"377",2020,"II","Nepenthes albomarginata","Not applied","GB","LK","live","Not applied","T","A","Exported",2000
"378",2020,"II","Nepenthes albomarginata","Not applied","MY","LK","live","Not applied","T","A","Exported",70
"379",2020,"II","Nepenthes albomarginata","Not applied","US","LK","live","Not applied","T","A","Exported",100
"380",2020,"II","Nepenthes alisaputrana","Not applied","GB","LK","live","Not applied","T","A","Exported",1000
"381",2020,"II","Nepenthes ampullaria","Not applied","CA","LK","live","Not applied","T","A","Exported",170
"382",2020,"II","Nepenthes ampullaria","Not applied","GB","LK","live","Not applied","T","A","Exported",1000
